professor_id,name,avg_rating,department
anderson_ann,Ann Anderson,,
battle,Ann Battle,5.0,
bracken,Ann Bracken,,
mason_ann,Ann Mason,3.5385,
smith_ann,Ann Smith,4.2,
engelsone,Anna Engelsone,,
szczepaniec-bialas,Anna Szczepaniec-Bialas,3.7,
anderson-sawyer,Anne Anderson-Sawyer,,
butler_anne,Anne Butler,,
carswell,Anne Carswell,,
gleeson,Anne Gleeson,,
kaiser,Anne Kaiser,2.3684,
price_anne,Anne Price,,
