course_id,title,description,credits,geneds
AAAS297,Research Methods in African American and Africana Studies,"Introduces African American and Africana Studies majors to the basic research skills, methodologies, sources, and repositories for studying African Diaspora. Students will be required to select a research topic, write a research proposal, develop an annotated bibliography, and in the process will be prepared for completing their senior thesis or other significant writing projects necessary to fulfill the requirements of the major.",3,
AAAS298Z,Special Topics in African American and Africana Studies; Jazz as a Cultural Art Form,"This course examines the creators, historical innovators, and evolution of the music known as Jazz from the standpoint of: historical, social, political, and economic conditions in the U.S. (past and present). National policy as it impacts upon the economics of popular American music, European classical music, and the music known as Jazz, and the artists who play it is the focus of the course.",3,
AAAS320,Poverty and African American Children,"The United States has high levels of child poverty compared to other industrialized nations. Poverty rates are particularly high among African American children. This course focuses on how poverty and race intersect to influence the development of children and youth. Specific topics that we will consider include definitions of poverty, theories about the causes of poverty, racial disparities in child poverty, family functioning in the context of poverty, neighborhood influences, risk and protective processes, and social policies and programs designed to mitigate the impact of poverty.",3,
AAAS386,Experiential Learning,Updating course code to align with department name change,3,
AAAS398E,Selected Topics in the African Diaspora; The Black Power Movement,"Cross-listed with AASP398E.  Examines the ideologies, politics, economy, and culture of Black Power as a social movement for liberation.",3,
AAAS398G,"Selected Topics in the African Diaspora; Gender, Labor and Racial Identities in Diaspora Communities","Cross-listed with AMST328K. Credit will be only granted for AMST328K or AASP398G. This course will expose students to a range of interdisciplinary perspectives, theories, and methodologies for exploring the intersectionality of gender, ethnicity, sexuality, and racial identitiesin multiple post-emancipation and modern African/Black diaspora communities. The class readings and discussions will examine the interactions and linkages between and among various African diaspora/descendant and native-born African American/Black peoples, frommultiple vantage points, in different historical periods and movements in the U.S., Africa, the Caribbean, Latin American and Europe.",3,
AAAS398J,Selected Topics in the African Diaspora; The Civil Rights Movement,"Cross-listed with HIST338A and AMST328Z.  From the anti-lynching movement and streetcar boycotts of the early 20th century to the mass movement of the 1960s, this course takes up issues that have engaged social movement theorists and activists alike: developing and sustaining social commitment, confronting the strengths and weaknesses of formal organization, raising money, maximizing political influence, and securing long-range objectives. While primarily focused on the U.S. Black Civil Rights Movement, the course considers its impacton other rights struggles (e.g., environmental justice and reproductive justice) and makes connections to the civil rights struggles of other people of color in the U.S.",3,
AAAS398K,Selected Topics in the African Diaspora; History of Black Education in America,"Cross-listed with HIST339K and AMST498F.  Explores the development of formal education created by and for African Americans, from the antebellum era through the twenty-first century. Examine the historical roots of recent debates around race, justice, and equity in American schools.",3,
AAAS398U,Selected Topics in the African Diaspora; Angela Davis,"This course explores the meaning and significance of Angela Davis' work for thinking through issues of race, nation, class, gender, carceral culture, and transnational solidarity. Her life and work is set between theorizing histories of race, racism, class, and gender and political organizing and public intellectual work. We will examine all of these aspects by reading her work from its beginning and up through contemporary commentary on incarceration, Palestine, and related issues. The centerpiece of this course will be her study of African-American music in its Black feminist iteration, Blues Legacies and Black Feminism. Cross-listed with AMST328B, ENGL368F, and WGSS379U.",3,
AAAS399,Research in African-American and Africana Studies,,1,
AAAS400,Directed Readings in African American and Africana Studies,The readings will be directed by the faculty of African American Studies. Topics to be covered will be chosen to meet the needs and interests of individual students.,3,DSHS|DVUP
AAAS400H,Directed Readings in African American and Africana Studies,The readings will be directed by the faculty of African American Studies. Topics to be covered will be chosen to meet the needs and interests of individual students.,3,DSHS|DVUP
AAAS441,"Science, Technology, and the Black Community","Scientific knowledge and skills in solving technological and social problems, particularly those faced by the Black community. Examines the evolution and development of African and African, African American, and Africa Diasporic contributions to science. Surveys the impact of technological changes on minority communities.",3,
AAAS480,Advanced Field Research in African American,"This course is designed to guide students through the process of conducting advanced research on political and societal phenomena that impact the Black community. Students will receive hands-on experience conducting field experiments, deploying in-person and virtual surveys, conducting interviews and focus groups, and analyzing data.",3,
AAAS498B,Special Topics in Black Culture; Black Women's Art and Culture,Cross-listed with WGSS498Z and AMST498Z.,3,
AAAS498U,Special Topics in Black Culture; Islam in Africa and the African Diaspora,"Cross-listed with ARAB499J and HIST429F.  Offers a history of Islam's spread in Africa and among Afro-diasporic cultures across the Middle East, South Asia, and Atlantic world from the 7th century until today, touching on questions of politics, theology, race, ethnicity, migration, and cultural memory. We will situate Islam in the context of African religions, explore the complex relations that developed among Muslim societies across the continent and beyond, and study thinkers from Ahmad Baba to Malcolm X in their own words. Taught in English.",3,
AAAS498V,Special Topics in Black Culture; Blackness in Global Perspective,"The goal of this course is to have an understanding of race, color, and blackness around the world. We will compare and contrast forms of racial  categorization, discrimination, and ideologies, whether in the form of nation-building projects, addressing racial inequality, sexuality or family formation. In this class, we will also analyze the migratory experiences of US Blacks, Africans, and Afro-descendants as well as the meanings they give to social interactions with non-Blacks. We will draw primarily on social science perspectives, including the work of sociologists, historians, and political scientists.",3,
AAAS498X,Special Topics in Black Culture,Cross-listed with PSYC489Q. Credit will be only granted for AASP498X or PSYC489Q.,3,
AAAS499L,Advanced Topics in Public Policy and the Black Community; Covering Social Justice,"Cross-listed with JOUR458J.  The objective of this class is to expose students to the best journalistic practices in covering race and social justice issues. Students will explore how social justice is covered in the media through readings, discussions, guest lectures and research assignments to help students understand the history and background of social justice and how reporters cover these issues. Students will develop critical analytical skills through their research and will write a reported essay about a national or international social justice issue impacting society.",3,
AAAS499M,Advanced Topics in Public Policy and the Black Community,Crosslisted with JOUR459Z Credit only granted for: JOUR459Z or AASP499M,3,
AAST200,Introduction to Asian American Studies,"The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective.",3,DSHS|DVUP
AAST201,Asian American History,"Introduction to the history of Asian Americans and Asians in the United States and the Americas and to the field of Asian American Studies, from an interdisciplinary perspective. Topics include theories of race and ethnicity; Asian migration and diaspora to the Americas; Asian American work and labor issues; gender, family, and communities; nationalism and nativism, and anti-Asian movements; Asian Americans in World War II, the Cold War, and the issues in the civil rights & post-civil rights era.",3,DSHS|DVUP
AAST250,Asian American Foodways,"Kimchi, chop suey, Spam, ""curry,"" poke: while these foods are now widely embraced, we will inquire how ""hallmark"" Asian/American foods have assumed cultural meaning and significance in the U.S., often through their transnational entanglements with histories of colonialism, exclusion, immigration, war, and globalization. We will think about how the aesthetics and significations of taste are bound up in the ways Asian Americans perceive themselves and are perceived by others, inquiring how ideas of the ""perpetual foreigner"" and the ""model minority"" might inform consumption practices. As the title of this course suggests, foodways will be a central area of analysis, never static but defined by mobility and transmission for Asian American communities. You will also be invited to explore your own relationships to Asian American food cultures through personal and academic accounts, a diverse range of media (TV, film, social media), cookbooks, and memoirs.",3,DSHU
AAST262,Asian American Psychology,"An overview of how socio-cultural influences impact the development and psychological health of Asian Americans. Other topics include how minority group status, adaptation and identity development influence various aspects of psychological functioning; the role of historic systematic racism; and, how the COVID-19 pandemic has negatively impacted Asian Americans. Students develop a deeper understanding of the role of stereotypes and racism, acculturation, racial identity development, cultural values, gender socialization, behavioral norms, family roles, stressors and social support systems on the mental health, well-being and health of Asian Americans.",3,
AAST322,Immigration and Ethnicity in the US,"Explores historical and contemporary Asian immigration to the US in comparison to and in the context of other immigrant groups. From low-skilled laborers to highly-skilled professionals, Asian and other immigrants have been an integral part of the shifting US economy and society since its inception. The course includes theories on why immigration occurs, determinants of its continuation, the uses of migrant labor, and immigrant adaptation and settlement. The second part of the course focuses on theories of ethnicity and racial formation and how immigrants develop and challenge the definitions of race, ethnicity, the ""other"", and ultimately, who is American. Students will also have the opportunity to gain first-hand knowledge of the immigrant experience through a life history interview project.",3,DSHS|DVUP
AAST350,South Asian American Experiences,"Explores the historical and current day experiences of diverse South Asian groups in the United States. Drawing from an array of materials, including historical, literary, visual and media texts, the course examines several key issues-- such as immigrant family and generational gap, racial stereotyping, media representation, the intersections of gender, race, and sexuality, the model minority and identity politics, casteism, and interracial relations and ethnic identity formation-- from both national and transnational frameworks for understanding historical and contemporary experiences of South Asian Americans.",3,DSHU
AAST351,Asian Americans and Media,"From yellow peril invaders to model minority allies, Asian Americans have crafted their own dynamic cultural expressions in a number of media from film, television, and music to fashion, sports, and food that reveal and contest the contradictions of the U.S. nation-state. Asian American culture also uniquely sits at the nexus of immigration flows and digital technologies, providing a transnational lens to view the US place in the world. This advanced course, then, will introduce students to the study and practice of Asian American culture as multiple , hybrid, and heterogeneous. It will do so through three sections: section one will introduce students to classical, cultural, and media concepts as well as relevant keywords outlined by Asian American Studies scholars; section two will review the work of Asian American cultural theorists; section three will focus on analyses of particular Asian American cultural productions. In doing so, students will gain an understanding of the shifting and interlocking tensions among the local, the national, and the global that form the cultural geographies of Asian America.",3,DSSP|DVUP
AAST378,Experiential Learning,,3,
AAST388,Independent Research; Independent Research,,1,
AAST394,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"An interdisciplinary course examines the experiences of children of Asian immigrants in the U.S., focusing on intergenerational dynamics in the Asian immigrant family, their intersections with race, gender, class, sexuality, and religion, and how these shape second-generation Asian American life. Topics include identity and personhood, the model minority myth and education, work and leisure, language and communication, filiality and disownment, mental health and suicide.",3,DVCC
AAST398A,Selected Topics in Asian American Studies; Preserving Native Hawaiian and Pacific Islander Histories   and Historic Preservation,"This course introduces students to historic preservation and the ways in which Native Hawaiian and Pacific Islanders have been interpreted through narratives of archival research of the built environment and landmark designation. Students will gain a greater understanding of I) the role of Native Hawaiian and Pacific Islanders in US historic preservation practice, 2) the preservation of Native Hawaiian and Pacific Islander historic sites (people, places, historical moments) and 3) how to conduct research on Native Hawaiian and Pacific Islander historic preservation. Though the class will concentrate on Native Hawaiian and Pacific Islanders, issues related to how Native Hawaiian and Pacific Islander are represented in historic preservation (including historic sites) will be examined within the larger context of America's multicultural preservation landscape and its legacies of histories of the built environments of US territories.",3,
AAST398J,Selected Topics in Asian American Studies; New World Arrivals: Literature of Asian American Migration and Diaspora,Cross-listed with ENGL349J.,3,
AAST398P,Selected Topics in Asian American Studies; Introduction to Health and Mental Health Policy Issues (AANHPI Communities),"This hybrid class will provide an introduction to key areas of public health impacting Asian American, Native Hawaiian, and Pacific Islander communities, to include: data and research; barriers to accessing care; infrastructure for advocacy; reproductive healthcare equity; and other emergent structural issues. Lecture, outside experts from the field, and field work and observation comprise the critical learning modes.",3,
AAST421,Asian American Public Policy,"Using Asian Pacific Americans as a case study, this course will analyze the development of public policy in America. Each week, topics such as community development, voting rights, and the movement to redress the wartime internment of Japanese Americans will serve as backdrops for discussion. We will explore the policy-making roles of legislators, judges, local and national political leaders, journalists, writers, unions, social movements, and community organizations.",3,DVCC
AAST422,Asian American Women and Gender,"Examines Asian/American cultural production along with theories of gender and sexuality in the field of Asian American Studies. We consider how Asian American femininities/masculinities are conceived and circulated, drawing from a diverse selection of twentieth-century and contemporary texts, films and images that connect Asian American bodies to ideas of absence, danger, inscrutability, hyper- or hypo-sexuality, and virulence. Beginning with early to mid-twentieth century representations, the course attends to theories that clarify the contested relationship between the East/West and Asia/U.S. Also examined are the methods through which bodies differentiated by sex, gender, and race are managed, surveilled, and rehabilitated, with close attention to the enduring legacies of American expansionism and conquest, anti-immigration policies in the U.S., and twentieth-century wars and occupations in Asia. The course engages Women of Color feminisms, queer theory, and disability studies.",3,
AAST443,Asian American Politics,"Students will gain a greater understanding of 1) the role of Asian Americans in US politics, 2) the political attitudes and behaviors of Asian Americans and 3) how to conduct research on Asian American politics. Though the class will concentrate on Asian Americans, issues related to Asian American politics will be examined within the larger context of America's multicultural political landscape.",3,DSHS|DVUP
ABRM450,Applied Anti-Black Racism,"The purpose of this course is to apply knowledge rooted in Anti-Black Racism to a real-world problem or issue within your chosen discipline or planned career path. You will meet with the course instructor and each other to discuss the readings, ideas and frameworks of anti-Black racism. The rest of the course will operate similar to an independent study; you will choose a mentor from your home department to work with on a self-directed, practice-oriented project. Beginning with a framework rooted in understanding anti-Black racism, you will identify issues of anti-Black racism specific to your discipline, select one of those issues within which to explore current solutions and their shortcomings, and draft a proposal that addresses the anti-Black racism embedded within the issue itself.",3,
AGNR388,Honors Thesis Research,,3,
AGST275,Fundamentals of Agricultural and Environmental Chemistry,"An in-depth discussion of chemistry targeted to students enrolled in plant and animal management curricula offered in AGNR. Covers the nomenclature and basic functional groups in organic chemistry, natural products and pesticides. Current practices of crop, agriculture and environmental management and genetic engineering also discussed.",3,
AGST311,Brewing and Distilling,"A scientific introduction to beer production and distillation of spirits, societal influence, the science of fermentation, brewery and distillery operations, and economics of scale. Students will be able to analyze and demonstrate the steps in the brewing process, such as: raw material evaluation, handling and preparation; processing of malts and adjuncts; wort production; fermentation, aging and cellar functions; packaging operations; beer freshness; and certain elements of quality management, including basic sensory evaluation of flavor. Additionally, students will be introduced to the fundamentals of distillation in the production of alcoholic beverages for human consumption.",4,
AGST389,Internship in Agricultural Education,,3,
AGST430,Hydroponic and Controlled Environment Food Production,"Controlled environment agriculture, including hydroponic food production, has increased dramatically worldwide as demand for fresh, local, safe, nutritious food has increased and an appreciation for the negative social and environmental impacts of producing food long distances from where it is consumed has grown. Through instructor and guest lectures, growing crops in greenhouses and rooms, and visiting local  hydroponic facilities, students will learn the fundamentals of how to grow vegetable and fruit crops in hydroponic and aquaponic systems.",4,
AGST442,Examining Leadership in Youth and Volunteers,Explore fundamental leadership theories and practice related skills utilized in helping youth and adults build community relationships in a variety of teaching environments. Fundamentals of youth development will be the basis for examining how to foster positive learning environments for dynamic learning. The identification of empowerment processes will be explored through case-study discussions.,3,
AGST499,Independent Studies in Agricultural Science and Technology,,1,
AGST605,Extension Research Methods with Applied Data Analysis,"Examine foundational qualitative and quantitative research methods in real-world social and behavioral settings for extension and outreach educators. This course enables you to distinguish, select and apply research methods to conduct social science research in a non-formal education setting. A variety of data analysis approaches will be examined across Extension and outreach education applications.",3,
AGST606,Program Planning and Evaluation in Agricultural and Extension Education,"Learn how to plan and evaluate agricultural and extension education programs: design and administer needs assessments, create a logic model, apply quantitative and qualitative instruments and protocols, engage stakeholders, and gather and analyze data. The course will enable participants to develop an evaluation and program plan tailored to their interest/working area, applying a lens to address inclusion and equity issues.",3,
AGST699,Advanced Independent Studies in Agricultural Science and Technology,,1,
AGST799,Master's Thesis Research,,1,
AMSC420,Mathematical Modeling,"The course will develop skills in data-driven mathematical modeling through individual and group projects. Emphasis will be placed on both analytical and computational methods, and on effective oral and written presentation of results.",3,
AMSC460,Computational Methods,"Basic computational methods for interpolation, least squares, approximation, numerical quadrature, numerical solution of polynomial and transcendental equations, systems of linear equations and initial value problems for ordinary differential equations. Emphasis on methods and their computational properties rather than their analytic aspects. Intended primarily for students in the physical and engineering sciences.",3,
AMSC466,Introduction to Numerical Analysis I,"Floating point computations, direct methods for linear systems, interpolation, solution of nonlinear equations.",3,
AMSC498A,Selected Topics in Applied Mathematics,,1,
AMSC661,Scientific Computing II,"Numerical methods for solving ordinary and partial differential equations (elliptic, parabolic, hyperbolic, and dispersive): motivation, analysis, and implementation. Finite difference methods, finite element methods, Fourier and Chebyshev spectral methods, and meshless methods.",3,
AMSC663,Advanced Scientific Computing I,"In the sequence Advanced Scientific Computing I & Advanced Scientific Computing II, (CMSC663/CMSC663 and AMSC664/CMSC664, respectively) students work on a year-long individual project to develop software for a scientific task in a high performance computing environment. Lectures will be given on available computational environments, code development, implementation of parallel algorithms.",3,
AMSC674,Partial Differential Equations II,"Boundary value problems for elliptic partial differential equations via operator-theoretic methods. Hilbert spaces of functions. Duality, weak convergence. Sobolev spaces. Spectral theory of compact operators. Eigenfunction expansions.",3,
AMSC689,Research Interactions in Applied Mathematics and Scientific Computation,,1,
AMSC714,Numerical Methods For Stationary PDEs,"Topics include: Maximum principle, finite difference method, upwinding, error analysis; Variational formulation of elliptic problems, inf-sup theory; The finite element method and its implementation; Piecewise polynomial interpolation theory in Sobolev spaces; A priori and a posteriori error analyses, adaptivity; Fast solvers; Variational crimes; Mixed finite element methods.",3,
AMSC760,Applied Statistics Practicum,"A semester long applied applied statistical project (a minimum 10 hours per week or 120 hours in total), in an internship of collaborative research-laboratory setting working on a substantive applied quantitative project with significant statistical content.",3,
AMSC762,Data Analysis Project,"This course cannot be used to meet any of the Applied Statistics Area's seminar requirements. Offered yearly, required of and limited to MS non-thesis and doctoral students in Applied Statistics Area, for whom the resulting projects serve as a Qualifying Exam component. After 5-6 lectures or presentations on components of successful data analyses and write-ups, 3-4 sessions will discuss previous student project submissions. The culminating project, to be completed in a two week period between semesters, is an analysis and written report of one of three project choices made available each year to represent a spectrum of realistic applied statistical problems.",1,
AMSC764,Advanced Numerical Optimization,Modern numerical methods for solving unconstrained and constrained nonlinear optimization problems in finite dimensions. Design of computational algorithms and the analysis of their properties.,3,
AMSC799,Master's Thesis Research,,1,
AMSC808A,Advanced Topics in Applied Mathematics,,1,
AMSC808G,Advanced Topics in Applied Mathematics; Nonlinear PDE:  Theory and Computation,,1,
AMSC898,Pre-Candidacy Research,,1,
AMSC899,Doctoral Dissertation Research,,6,
AMST101,Introduction American Studies,"Introduces students to the interdisciplinary field of American Studies by examining concepts such as culture, identity, cultural practices, and globalization, as well as theories underlying these concepts. Engages key themes, especially constructions of difference and identity, cultures of everyday life, and America and the world.",3,DSHU|DVUP
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",3,DSHU|DVUP
AMST205,"American Material Culture: The Study of People, Places, and Things","Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",3,DSHU|DVUP
AMST210,Introduction to Ethnography,"A qualitative research method course used to study social worlds communities, cultures, institutions, and other social groups from the perspectives of the people who inhabit those social worlds. Ethnographic research involves understanding cultural traditions from an insider's perspective by studying the everyday lives of people steeped in those traditions.",3,DSSP
AMST213,Heroes and Villains in American Film,"We will examine the complex, changing, and ever-present representations of heroes and villains in American film. Beginning with a foundational understanding of how heroes and, conversely, villains have been defined through classic Hollywood film, we will explore how these definitions have shifted throughout the 20th and 21st century in various narrative genres, including westerns, war films, film noir, fantasy, science fiction, and, of course, superhero movies. In particular, we will be focusing on how the hero and villain maintain or disrupt specific cultural ideologies concerning race/ethnicity, gender, sexuality, and ability. This course will examine how these various ideologies have evolved throughout the 20th and 21st century, impacting the ways in which heroes and villains are both represented in American film and perceived by diverse audiences. Finally, we will examine our own complicated and sometimes troubling identification with these heroes, even when they might stand in stark contrast to our cultural values and identities.",3,DSHU|DVUP
AMST290,Constructing Cultural Mainstreams and Margins in the U.S.,"Examines the construction, operation, and meaning of cultural mainstreams and margins in a range of contexts, spaces, and times in the U.S. Using a variety of primary sources, research methods, and interdisciplinary scholarship, we will explore how Americans make and assign meaning to cultural mainstreams and margins. We will examine how and why cultural margins and mainstreams shift over time and what their consequences have been for social policies, laws, power relations, and national identity.",3,DSHS|DSHU|DVUP|SCIS
AMST298C,Introduction to Asian American Studies,"The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective.",3,DSHS|DVUP
AMST298D,Selected Topics in American Studies; Introduction to Disability Studies,"Explores theories of disability justice as they intersect with feminist and antiracist struggles. Analyzing how disability has been an important aspect of institutions and social experience in the United States and beyond, the course considers how disability activists have responded to ableism by developing art, political strategies, and subcultures that promote a more just society built for a wider variety of human bodies. Cross-listed with WGSS105.",3,
AMST298J,Selected Topics in American Studies; Reproductive Justice: An Introduction,,3,
AMST298Q,U.S. Latinx Literature and Culture,"Examines the poetry, prose, and theater of Latinx communities in the United States from their origins in the Spanish colonization of North America to their ongoing development in the 21st century. Considers how authors use literary form to gain insight into human experience, including mortality, religious belief, gender and sexuality, war and peace, family, language use, scientific inquiry, cultural tradition, ecology, and labor. Also studies how Latinx literary traditions have shaped and been shaped by broader currents in American literature, as well as what connections exist between Latinx literature and social and artistic developments in other parts of the world, particularly Latin America and the Caribbean. Authors may include Alvar Nunez Cabeza de Vaca, Eulalia Perez, Juan Nepomuceno Seguin, Maria Amparo Ruiz de Burton, Jose Marti, Arthur A. Schomburg, Jesus Colon, Julia de Burgos, Cesar Chavez, Ariel Dorfman, Gloria Anzaldua, Junot Diaz, and Cristina Garcia.",3,DSHU|DVUP
AMST324,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"An interdisciplinary course examines the experiences of children of Asian immigrants in the U.S., focusing on intergenerational dynamics in the Asian immigrant family, their intersections with race, gender, class, sexuality, and religion, and how these shape second-generation Asian American life. Topics include identity and personhood, the model minority myth and education, work and leisure, language and communication, filiality and disownment, mental health and suicide.",3,DVCC
AMST328B,Perspectives on Identity and Culture; Angela Davis,"This course explores the meaning and significance of Angela Davis' work for thinking through issues of race, nation, class, gender, carceral culture, and transnational solidarity. Her life and work is set between theorizing histories of race, racism, class, and gender and political organizing and public intellectual work. We will examine all of these aspects by reading her work from its beginning and up through contemporary commentary on incarceration, Palestine, and related issues. The centerpiece of this course will be her study of African-American music in its Black feminist iteration, Blues Legacies and Black Feminism. Cross-listed with AAAS398U, ENGL368F, and WGSS379U.",3,
AMST328K,Perspectives on Identity and Culture,"Cross-listed with AASP398G. Credit will be only granted for AMST328K or AASP398G. This course will expose students to a range of interdisciplinary perspectives, theories, and methodologies for exploring the intersectionality of gender, ethnicity, sexuality, and racial identitiesin multiple post-emancipation and modern African/Black diaspora communities. The class readings and discussions will examine the interactions and linkages between and among various African diaspora/descendant and native-born African American/Black peoples, frommultiple vantage points, in different historical periods and movements in the U.S., Africa, the Caribbean, Latin American and Europe.",3,
AMST328Z,Perspectives on Identity and Culture; The Civil Rights Movement,"Cross-listed with HIST338A and AAAS398J.  From the anti-lynching movement and streetcar boycotts of the early 20th century to the mass movement of the 1960s, this course takes up issues that have engaged social movement theorists and activists alike: developing and sustaining social commitment, confronting the strengths and weaknesses of formal organization, raising money, maximizing political influence, and securing long-range objectives. While primarily focused on the U.S. Black Civil Rights Movement, the course considers its impact on other rights struggles (e.g., environmental justice and reproductive justice) and makes connections to the civil rights struggles of other people of color in the U.S.",3,
AMST386,Experiential Learning,Restriction: Permission of ARHU-American Studies department; and junior standing or higher.,3,
AMST388,Honors Thesis,,3,
AMST398,Independent Studies,,1,
AMST418H,Cultural Themes in America; Cultural Themes in America-Honors,,3,
AMST418N,Asian American Public Policy,"Using Asian Pacific Americans as a case study, this course will analyze the development of public policy in America. Each week, topics such as community development, voting rights, and the movement to redress the wartime internment of Japanese Americans will serve as backdrops for discussion. We will explore the policy-making roles of legislators, judges, local and national political leaders, journalists, writers, unions, social movements, and community organizations.",3,DVCC
AMST425,Film and American Landscape,"Explores how representations of various geographic spaces in American film impact our understanding of community, identity, and place.  In particular, we will think about how these spaces are culturally produced and changeable rather than static.  The same space can hold diverse meanings for various groups of people and how such a space is represented in film is often wrapped up with issues of power, the reinforcement of stereotypes, and the creation of self/other dichotomies. By analyzing a variety of narrative, documentary, major studio, and independent films, we will seek to understand how American films' representations of rural, urban, and suburban spaces both reflect, contradict, and often influence our lived experiences of these spaces; in other words, this course will examine how the ""reel"" intersects with the ""real"".",3,DSHU|DVUP
AMST450,Seminar in American Studies,"Developments in theories and methods of American Studies scholarship, with emphasis upon interaction between the humanities and the social sciences in the process of cultural analysis and evaluation.",3,DSSP
AMST498G,Special Topics in American Studies; Latina/os on the Silver Screen,"Cross-listed with USLT498A.  Combining media theory and film history, this course considers the film industry s representation of Latines from the silent era to the present day. To begin, we examine mainstream images created by white Hollywood filmmakers during the twentieth century; the latter part of the course turns attention to self-representations in more recent cinema created by Latine cultural producers.",3,
AMST498J,Asian American Politics,"Students will gain a greater understanding of 1) the role of Asian Americans in US politics, 2) the political attitudes and behaviors of Asian Americans and 3) how to conduct research on Asian American politics. Though the class will concentrate on Asian Americans, issues related to Asian American politics will be examined within the larger context of America's multicultural political landscape.",3,DSHS|DVUP
AMST498N,"Special Topics in American Studies; Citizens, Refugees, and Immigrants",Cross-listed with ULST403. Credit granted only for AMST498N or ULST403.,3,
AMST498Z,Special Topics in American Studies; Black Women's Art and Culture,Cross-listed with WGSS498Z and AAAS498B.,3,
AMST603,Current Approaches to American Studies,"Builds on AMST601 and explores contemporary literature, theory, and intellectual issues in American Studies.",3,
AMST628E,Seminar in American Studies; Colonial Theory,"This course undertakes an examination of the foundations, debates, and contours of settler colonial theory as well as the challenges to it from a variety of fields, viewpoints, and engagements. Through reading theorists who have come to define the field, many of whom are not Indigenous, as well as Indigenous scholars' responses to and uses of these theoretical interventions, we will examine the utility of the theory for decolonial struggle.",3,
AMST628N,"Seminar in American Studies; Space, Place, and Identity in the Digital Age","This course will investigate the relationship between the production of space, practices of place, and embodied identity. The relationship between these categories has taken on a new level of importance with the emergence of digital technologies, as seen in both academic studies and in the broader cultural climate. We will study several topics that are situated at the intersection of space, place, identity, and digital technology such as mapping and power, location-aware and pervasive technologies, surveillance, disability and urban design, empire in the digital age, transnational identity, and diaspora in an age of global connectivity.",3,
AMST629K,Seminar in American Studies; Gentrification and the Politics of Displacement,"This course explores the multiple workings of gentrification and the uses of space. It looks at the history, effects and consequences of gentrification and the role it has and continues to play in shaping and altering cityscapes.",3,
